Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason,Population,Churn_Binary,City_Target_Encoded,PaymentMethod_Freq_Encoded,Monthly_To_Tenure_Ratio,Revenue_Per_Capita_Index,Tenure_Years,Tenure_Cohort,Tenure in Months_Scaled,Monthly Charge_Scaled,City_Target_Encoded_Scaled,Monthly_To_Tenure_Ratio_Scaled
0017-IUDMW,Female,25,Yes,2,Sunnyvale,94086,37.378541,-122.020456,2,72,,Yes,16.01,Yes,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,8456.75,0.0,0,1152.72,9609.47,Stayed,,,64010.0,0,0.16666666666666666,0.38971544128268093,1.5999999999999999,0.15012216650263235,6.0,4+ Yrs,1.6125224513621648,1.7275103120722017,-0.503251831722657,-0.4792290882206706
0018-NYROU,Female,58,Yes,0,Antelope,95843,38.715498,-121.363411,0,5,,Yes,18.65,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,0.0,0,93.25,444.75,Stayed,,,36432.0,0,0.5,0.5556839520439116,11.491666666666667,0.012207339499903934,0.4166666666666667,0-1 Yr,-1.1179542664698126,0.13810194801474282,1.1917189447385221,0.6759676773301995
0019-EFAEP,Female,32,No,0,La Mesa,91942,32.782501,-117.01611,0,72,Offer A,Yes,2.25,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,0.0,0,162.0,7423.25,Stayed,,,24005.0,0,0.1,0.5556839520439116,1.3876712328767122,0.30922477713904856,6.0,4+ Yrs,1.6125224513621648,1.2126549381350937,-0.8422459870148926,-0.504025870530449
0019-GFNTW,Female,39,No,0,Los Olivos,93441,34.70434,-120.02609,0,56,,No,0.0,,Yes,DSL,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,0.0,0,0.0,2560.1,Stayed,,,1317.0,0,0.0,0.5556839520439116,0.7903508771929824,1.942412746585736,4.666666666666667,4+ Yrs,0.9604683097903493,-0.6557718221205401,-1.3507372199532464,-0.5737838361126099
0020-INWCK,Female,58,Yes,2,Woodlake,93286,36.464635,-119.094348,9,71,Offer A,Yes,27.26,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,0.0,0,1935.46,8784.86,Stayed,,,8870.0,0,0.0,0.38971544128268093,1.3298611111111112,0.9902897080374253,5.916666666666667,4+ Yrs,1.5717690675139262,1.0283034977898713,-1.3507372199532464,-0.5107772166817272
0020-JDNXP,Female,52,Yes,1,Point Reyes Station,94956,38.060264,-122.830646,0,34,,No,0.0,,Yes,DSL,20.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0.0,0,0.0,1993.2,Stayed,,,1885.0,0,0.3333333333333333,0.38971544128268093,1.75,1.0568398727465536,2.8333333333333335,2-4 Yrs,0.06389386512910297,-0.11766491516691739,0.34423355650793247,-0.46171136136311736
0021-IKXGC,Female,72,No,0,San Marcos,92078,33.119028,-117.166036,0,1,Offer E,Yes,7.77,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0.0,0,7.77,79.87,Joined,,,6760.0,0,0.14285714285714285,0.5556839520439116,36.05,0.011813341221712764,0.08333333333333333,0-1 Yr,-1.2809678018627664,0.24273384658905803,-0.6243211728984555,3.544008846730716
0022-TCJCI,Male,79,No,0,Daly City,94015,37.680844,-122.48131,0,45,,Yes,10.67,No,Yes,DSL,17.0,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0.0,0,480.15,3271.65,Churned,Dissatisfaction,Limited range of services,63337.0,1,0.625,0.38971544128268093,1.3630434782608696,0.051653825507594175,3.75,2-4 Yrs,0.5121810874597261,-0.06950102534699429,1.8273329859114642,-0.506902019053617
0023-HGHWL,Male,67,No,0,Morgan Hill,95037,37.161544,-121.649371,0,1,,No,0.0,,Yes,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0.0,0,0.0,25.1,Churned,Competitor,Competitor made better offer,41707.0,1,0.5,0.5556839520439116,12.55,0.0006018030114126787,0.08333333333333333,0-1 Yr,-1.2809678018627664,-1.3184405130912047,1.1917189447385221,0.7995649723807138
0023-UYUPN,Female,79,Yes,0,Ahwahnee,93601,37.375816,-119.739935,0,50,,Yes,31.43,Yes,No,,0.0,,,,,,,,,One Year,No,Bank Withdrawal,25.2,1306.3,0.0,0,1571.5,2877.8,Stayed,,,1968.0,0,0.25,0.5556839520439116,0.4941176470588235,1.4615540883697309,4.166666666666667,4+ Yrs,0.7159480067009184,-1.3151188655174169,-0.07950913760736215,-0.6083793881900825
0023-XUOPT,Female,26,Yes,0,Carnelian Bay,96140,39.227434,-120.091806,1,13,,Yes,43.56,Yes,Yes,Fiber Optic,52.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0.0,0,566.28,1781.88,Churned,Other,Don't know,1943.0,1,0.5,0.5556839520439116,6.721428571428571,0.9166049382716049,1.0833333333333333,1-2 Yrs,-0.7919271956839048,0.9734963128223726,1.1917189447385221,0.11887615734436033
0027-KWYKW,Female,30,Yes,2,Alpaugh,93201,35.869626,-119.498771,1,23,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0.0,0,802.93,2652.88,Stayed,,,1054.0,0,0.75,0.5556839520439116,3.4895833333333335,2.5145781990521328,1.9166666666666667,1-2 Yrs,-0.3843933572015202,0.6297057889353361,2.4629470270844065,-0.25855439016788223
0030-FNXPP,Female,22,No,0,Keeler,93530,36.560498,-117.962461,0,3,,Yes,3.12,No,No,,0.0,,,,,,,,,Month-to-Month,No,Credit Card,19.85,57.2,0.0,0,9.36,66.56,Joined,,,71.0,0,0.0,0.38971544128268093,4.9625,0.9244444444444445,0.25,0-1 Yr,-1.1994610341662895,-1.4928270107150639,-1.3507372199532464,-0.08654004449718611
0031-PVLZI,Female,34,Yes,0,Korbel,95550,40.7666,-123.80458,0,4,Offer E,Yes,12.43,No,No,,0.0,,,,,,,,,Month-to-Month,No,Credit Card,20.35,76.35,0.0,0,49.72,126.07,Churned,Price,Long distance charges,155.0,1,0.25,0.38971544128268093,4.07,0.8081410256410256,0.3333333333333333,0-1 Yr,-1.1587076503180511,-1.476218772846125,-0.07950913760736215,-0.1907705192996277
0032-PGELS,Female,37,Yes,1,Palomar Mountain,92060,33.309852,-116.823091,1,1,,No,0.0,,Yes,DSL,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0.0,0,0.0,30.5,Churned,Attitude,Attitude of service provider,234.0,1,0.3333333333333333,0.5556839520439116,15.25,0.12978723404255318,0.08333333333333333,0-1 Yr,-1.2809678018627664,-1.139071544106664,0.34423355650793247,1.1148840558166715
0036-IHMOT,Female,37,Yes,3,Parlier,93648,36.622237,-119.521126,10,55,,Yes,35.04,No,Yes,Fiber Optic,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0.0,20,1927.2,7603.95,Stayed,,,12587.0,0,0.25,0.5556839520439116,1.8517857142857144,0.6040633937082936,4.583333333333333,4+ Yrs,0.9197149259421108,1.292374479906001,-0.07950913760736215,-0.4498243324240634
0040-HALCW,Male,42,Yes,3,Modesto,95358,37.612612,-121.108568,3,54,,Yes,19.7,No,No,,0.0,,,,,,,,,Two Year,No,Credit Card,20.4,1090.6,0.0,0,1063.8,2154.4,Stayed,,,30668.0,0,0.4444444444444444,0.38971544128268093,0.3709090909090909,0.07024682904561609,4.5,4+ Yrs,0.8789615420938723,-1.474557949059231,0.9092238153283254,-0.6227682804110459
0042-JVWOJ,Male,64,No,0,Glen Ellen,95442,38.368744,-122.522642,0,26,Offer C,Yes,37.7,No,No,,0.0,,,,,,,,,One Year,Yes,Bank Withdrawal,19.6,471.85,21.25,0,980.2,1430.8,Stayed,,,4101.0,0,0.25,0.5556839520439116,0.725925925925926,0.3488054607508532,2.1666666666666665,2-4 Yrs,-0.26213320565680476,-1.5011311296495333,-0.07950913760736215,-0.5813076941066596
0042-RLHYP,Female,47,Yes,3,Eureka,95503,40.737431,-124.108897,5,69,,Yes,38.39,No,No,,0.0,,,,,,,,,Two Year,No,Bank Withdrawal,19.7,1396.9,0.0,0,2648.91,4045.81,Stayed,,,23570.0,0,0.25,0.5556839520439116,0.2814285714285714,0.17164354503415213,5.75,4+ Yrs,1.4902622998174493,-1.4978094820757455,-0.07950913760736215,-0.6332182490732574
0048-LUMLS,Male,23,Yes,3,Moss Beach,94038,37.515556,-122.502311,1,37,Offer C,Yes,43.01,No,Yes,Fiber Optic,51.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0.0,0,1591.37,4838.92,Stayed,,,3064.0,0,0.0,0.38971544128268093,2.4,1.5787667210440457,3.0833333333333335,2-4 Yrs,0.18615401667381837,0.8771685331825269,-1.3507372199532464,-0.3858012116470535
0048-PIHNL,Female,48,Yes,0,Los Angeles,90058,34.001617,-118.222274,5,49,Offer B,Yes,49.58,No,No,,0.0,,,,,,,,,One Year,No,Bank Withdrawal,20.45,900.9,0.0,0,2429.42,3330.32,Stayed,,,3642.0,0,0.2682926829268293,0.5556839520439116,0.409,0.9141696404062586,4.083333333333333,4+ Yrs,0.67519462285268,-1.472897125272337,0.013507551344775798,-0.6183198394696431
0052-YNYOT,Female,28,No,0,Calexico,92231,32.690654,-115.431225,0,67,,Yes,23.12,No,No,,0.0,,,,,,,,,One Year,No,Bank Withdrawal,20.55,1343.4,30.53,0,1549.04,2861.91,Stayed,,,27804.0,0,0.2,0.5556839520439116,0.3022058823529412,0.1029278906671462,5.583333333333333,4+ Yrs,1.4087555321209724,-1.4695754776985495,-0.33375475407653893,-0.6307917740225402
0056-EPFBG,Male,33,Yes,1,Redding,96003,40.677649,-122.29467,4,20,,No,0.0,,Yes,Cable,22.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0.0,0,0.0,825.4,Stayed,,,41476.0,0,0.16666666666666666,0.38971544128268093,1.8761904761904762,0.019900185645056297,1.6666666666666667,1-2 Yrs,-0.5066535087462356,-0.8434449100395504,-0.503251831722657,-0.44697422607025517
0057-QBUQH,Female,31,No,3,San Martin,95046,37.084697,-121.606417,0,43,,Yes,30.64,Yes,No,,0.0,,,,,,,,,Two Year,Yes,Bank Withdrawal,25.1,1070.15,0.0,0,1317.52,2387.67,Stayed,,,5671.0,0,0.25,0.5556839520439116,0.5704545454545454,0.42095733427362486,3.5833333333333335,2-4 Yrs,0.43067431976324916,-1.3184405130912047,-0.07950913760736215,-0.5994643952884222
0058-EVZWM,Female,37,Yes,0,Stockton,95209,38.044523,-121.348048,2,55,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0.0,0,279.4,5239.0,Stayed,,,30814.0,0,0.2727272727272727,0.5556839520439116,1.6035714285714284,0.17001460327762452,4.583333333333333,4+ Yrs,0.9197149259421108,0.8306654671494976,0.036057051696809034,-0.4788119994859669
0060-FUALY,Female,60,Yes,0,Los Angeles,90003,33.964131,-118.272783,4,59,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0.0,0,967.01,6564.66,Stayed,,,58198.0,0,0.2682926829268293,0.5556839520439116,1.5791666666666666,0.11279678344988746,4.916666666666667,4+ Yrs,1.0827284613350647,0.9950870220519935,0.013507551344775798,-0.4816621058397752
0064-SUDOG,Female,48,Yes,3,Huntington Park,90255,33.97803,-118.217141,3,12,,Yes,19.28,No,No,,0.0,,,,,,,,,Two Year,No,Bank Withdrawal,20.3,224.5,0.0,0,231.36,455.86,Stayed,,,78114.0,0,0.5,0.5556839520439116,1.5615384615384615,0.005835754976637009,1.0,0-1 Yr,-0.8326805795321434,-1.477879596633019,1.1917189447385221,-0.48372081305594067
0064-YIJGF,Male,60,Yes,3,Yermo,92398,35.013299,-116.834092,7,27,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929.0,0.0,0,682.02,2611.02,Stayed,,,1195.0,0,0.25,0.5556839520439116,2.705357142857143,2.1831270903010034,2.25,2-4 Yrs,-0.2213798218085663,0.36397398303231265,-0.07950913760736215,-0.3501401248298916
0067-DKWBL,Male,69,No,0,San Diego,92129,32.961064,-117.134917,0,2,,Yes,43.99,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.08,Churned,Competitor,Competitor made better offer,47224.0,1,0.6474820143884892,0.5556839520439116,16.416666666666668,0.003792059290629963,0.16666666666666666,0-1 Yr,-1.240214418014528,-0.5162626240214526,1.9416520580648708,1.25113304248653
0068-FIGTF,Female,20,No,0,Fremont,94539,37.516791,-121.899117,0,27,Offer C,Yes,48.91,No,Yes,DSL,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,0.0,0,1320.57,3399.52,Stayed,,,46917.0,0,0.4375,0.38971544128268093,2.792857142857143,0.07245662645466559,2.25,2-4 Yrs,-0.2213798218085663,0.4453543485901137,0.873911924152051,-0.3399214508296522
0071-NDAFP,Male,31,Yes,3,Santa Rosa,95405,38.439696,-122.668817,1,25,,Yes,23.69,Yes,No,,0.0,,,,,,,,,Two Year,No,Credit Card,25.5,630.6,44.42,0,592.25,1178.43,Stayed,,,22250.0,0,0.4583333333333333,0.38971544128268093,0.9807692307692307,0.052960765808278285,2.0833333333333335,2-4 Yrs,-0.3028865895050432,-1.3051539227960536,0.9798475976808746,-0.5515458580685184
0074-HDKDG,Male,46,Yes,0,San Jose,95126,37.327069,-121.916819,5,25,,Yes,6.45,No,Yes,Cable,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611.0,44.9,0,161.25,1727.35,Stayed,,,27023.0,0,0.25892857142857145,0.5556839520439116,2.3692307692307693,0.0639191089402013,2.0833333333333335,2-4 Yrs,-0.3028865895050432,-0.10603914865866006,-0.0341081346664376,-0.3893945915152695
0076-LVEPS,Male,57,No,1,Tujunga,91042,34.296574,-118.244839,0,29,,No,0.0,,Yes,DSL,21.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.0,1242.45,12.26,0,0.0,1230.19,Stayed,,,26753.0,0,0.6,0.38971544128268093,1.5,0.045981535471331395,2.4166666666666665,2-4 Yrs,-0.13987305411208936,-0.6574326459074339,1.7002101776768757,-0.49090757279237274
0078-XZMHT,Male,19,Yes,0,Visalia,93291,36.391777,-119.372842,5,72,,Yes,32.36,Yes,Yes,DSL,52.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,0.0,0,2329.92,8646.12,Stayed,,,36718.0,0,0.2727272727272727,0.5556839520439116,1.1664383561643836,0.2354671968190855,6.0,4+ Yrs,1.6125224513621648,0.6762088549683655,0.036057051696809034,-0.5298625179048312
0080-EMYVY,Female,64,No,0,Lodi,95240,38.123544,-121.159078,0,14,,Yes,24.04,No,Yes,Cable,12.0,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,727.85,0.0,0,336.56,1064.41,Stayed,,,45755.0,0,0.375,0.38971544128268093,3.43,0.023262741498382727,1.1666666666666667,1-2 Yrs,-0.7511738118356663,-0.44318637739812106,0.55610490356558,-0.26551282055852143
0080-OROZO,Female,38,No,0,El Portal,95318,37.654551,-119.822984,0,35,Offer C,Yes,36.42,No,Yes,Fiber Optic,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532.0,0.0,0,1274.7,4806.7,Stayed,,,579.0,0,0.0,0.5556839520439116,2.7569444444444446,8.287413793103449,2.9166666666666665,2-4 Yrs,0.10464724897734144,1.1445611628724441,-1.3507372199532464,-0.3441155097730611
0082-LDZUE,Male,54,No,0,Calistoga,94515,38.629618,-122.593216,0,1,Offer E,Yes,42.95,No,Yes,DSL,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0.0,0,42.95,87.25,Joined,,,7384.0,0,0.25,0.38971544128268093,22.15,0.011814488828706839,0.08333333333333333,0-1 Yr,-1.2809678018627664,-0.6806841789239485,-0.07950913760736215,1.9206994912641189
0082-OQIQY,Male,50,No,0,Farmington,95230,37.956963,-120.863055,0,29,,Yes,2.05,No,Yes,Fiber Optic,17.0,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,0.0,20,59.45,2687.05,Stayed,,,596.0,0,0.0,0.5556839520439116,3.14,4.500921273031826,2.4166666666666665,2-4 Yrs,-0.13987305411208936,0.9768179603961606,-1.3507372199532464,-0.29938042581645763
0083-PIVIK,Male,25,No,0,Tulelake,96134,41.813521,-121.492666,0,64,,Yes,5.49,Yes,Yes,DSL,69.0,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,0.0,40,351.36,5958.91,Stayed,,,2595.0,0,0.0,0.5556839520439116,1.25,2.295419876733436,5.333333333333333,4+ Yrs,1.286495380576257,0.5466645995906413,-1.3507372199532464,-0.5201037842216281
0089-IIQKO,Female,35,Yes,3,Coleville,96107,38.42528,-119.475741,1,39,,Yes,24.38,Yes,Yes,Fiber Optic,53.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,0.0,0,950.82,4718.22,Stayed,,,1332.0,0,0.0,0.38971544128268093,2.4987500000000002,3.539549887471868,3.25,2-4 Yrs,0.26766078437029533,1.1678126958889588,-1.3507372199532464,-0.3742687081324976
0093-EXYQL,Female,72,No,0,Ojai,93023,34.581308,-118.931948,0,40,,Yes,44.14,No,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,0.0,0,1765.6,5439.2,Stayed,,,21633.0,0,0.25,0.5556839520439116,2.2329268292682927,0.25141906258666913,3.3333333333333335,2-4 Yrs,0.3084141682185338,0.8887942996907839,-0.07950913760736215,-0.4053128261144095
0093-XWZFY,Male,51,No,0,Desert Hot Springs,92241,33.832799,-116.250973,0,40,,Yes,37.69,Yes,Yes,Fiber Optic,15.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,0.0,0,1507.6,5544.45,Churned,Competitor,Competitor had better devices,5529.0,1,0.2222222222222222,0.38971544128268093,2.548780487804878,1.0026130198915009,3.3333333333333335,2-4 Yrs,0.3084141682185338,1.3189476604963033,-0.22075670231246047,-0.3684259053330576
0094-OIFMO,Female,78,No,1,North Hollywood,91605,34.207295,-118.400022,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29.0,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,Churned,Dissatisfaction,Product dissatisfaction,57146.0,1,0.45,0.5556839520439116,7.916666666666667,0.023934589742243686,0.9166666666666666,0-1 Yr,-0.8734339633803818,1.0033911409864629,0.9374733282693453,0.25846185389184795
0096-BXERS,Female,30,Yes,0,Inverness,94937,38.099323,-122.945723,10,6,Offer E,Yes,42.66,Yes,Yes,Cable,85.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,0.0,0,255.96,570.51,Stayed,,,1004.0,0,0.25,0.5556839520439116,7.192857142857143,0.5676716417910448,0.5,0-1 Yr,-1.0772008826215742,-0.47972450070978684,-0.07950913760736215,0.17393187032524196
0096-FCPUF,Male,58,No,0,Santa Rosa,95404,38.526941,-122.709096,0,30,,Yes,2.64,Yes,Yes,DSL,15.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,0.0,0,79.2,1967.65,Stayed,,,35057.0,0,0.4583333333333333,0.054600606673407485,2.0806451612903225,0.056125563352159284,2.5,2-4 Yrs,-0.09911967026385089,-0.009711369018814097,0.9798475976808746,-0.4230970172147474
0098-BOWSO,Male,26,No,0,San Jose,95131,37.387027,-121.897775,0,27,,Yes,20.66,No,No,,0.0,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,0.0,0,557.82,1087.62,Stayed,,,26389.0,0,0.25892857142857145,0.5556839520439116,0.6928571428571428,0.041213338385752175,2.25,2-4 Yrs,-0.2213798218085663,-1.507774424797109,-0.0341081346664376,-0.5851696268353971
0100-DUVFC,Male,66,Yes,0,Wilmington,90744,33.782068,-118.262263,3,70,,Yes,39.49,Yes,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,7308.95,6.11,0,2764.3,10067.14,Stayed,,,53323.0,0,0.0,0.5556839520439116,1.476056338028169,0.18879191358487735,5.833333333333333,4+ Yrs,1.5310156836656879,1.3289126032176666,-1.3507372199532464,-0.49370382966165355
